,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.903208167734124,0.8939554005028294,0.907992669852975,0.863863118512653
Precision_0,0.9315751570687129,0.9225681872359935,0.9324790673025967,0.8652017837319896
Recall_0,0.9582465446297072,0.9575072289455592,0.9631473391203822,0.9977251263697046
F1_0,0.9447226418467974,0.9397130571153218,0.9475651208643817,0.9267497874752054
Precision_1,0.6785991168638554,0.6478589573001089,0.7067091835252981,0.5764370158988993
Recall_1,0.5560532336544969,0.49310181327711056,0.5601042208524566,0.019527599651983373
F1_1,0.6112445064050825,0.5599849439711845,0.6249236000184901,0.037775502025913885
Avg_F1,0.77798357412594,0.7498490005432532,0.786244360441436,0.48226264475055963
