,layer2_hidden_states
Acc,0.9443886888246059
Precision_0,0.9661110569267419
Recall_0,0.9834367919474303
F1_0,0.9746969370745598
Precision_1,0.5833045281714483
Recall_1,0.4851926394479586
F1_1,0.529744153194161
Precision_2,0.5936921449352023
Recall_2,0.409831576064631
F1_2,0.48491885615532093
Precision_3,0.6039289161414864
Recall_3,0.5105106546362066
F1_3,0.553304377226976
Precision_4,0.6240816591899097
Recall_4,0.47739593176505696
F1_4,0.5409715960324617
Avg_F1,0.6167271839366959
