,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9682937753595936,0.9575769945767243,0.9720262539710738,0.9639571706741202
Precision_0,0.9829500000656805,0.974449562365524,0.9831912313231358,0.9637825533705444
Recall_0,0.9839756465595176,0.9814568012439716,0.9876891517388975,0.9999585781114906
F1_0,0.9834625559027119,0.9779406297220885,0.9854350589800408,0.9815373485096124
Precision_1,0.6244394791586408,0.49224952741020794,0.6854378065990189,0.9932928776748643
Recall_1,0.6095334075388827,0.41126921572756536,0.6136999488583376,0.14033873830510515
F1_1,0.6168964126140801,0.44813033181181217,0.647588210085234,0.24593080724876443
Avg_F1,0.800179484258396,0.7130354807669503,0.8165116345326374,0.6137340778791884
