,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9416706511269566,0.9540505109873461,0.9570598021817833,0.9261366106070428
Precision_0,0.9756987236938822,0.9699348458021811,0.9725029058347542,0.9278862594843508
Recall_0,0.9661945985032984,0.9817264596934285,0.9828602419008248,0.9976785434104878
F1_0,0.9709234032824667,0.9757950312601603,0.9776541430525698,0.9615175873813584
Precision_1,0.7510274127263695,0.7265439310317044,0.7851934941110488,0.7246980424822991
Recall_1,0.5384839555742642,0.5839782404559143,0.6346533691675031,0.05634167665058446
F1_1,0.6272394674310715,0.6475065522564895,0.701942877607664,0.10455474101670473
Precision_2,0.42790422083580215,0.7318103149878851,0.7199274765122795,0.68099121706399
Recall_2,0.7676003501312992,0.6609353507565336,0.682724771789421,0.06786920095035638
F1_2,0.5494908806087054,0.6945694668024573,0.7008327583717087,0.12343643393222652
Precision_3,0.7159424894749384,0.7103533427751753,0.7136494147095634,0.6636584519264145
Recall_3,0.6168006843455945,0.6693242087254063,0.6633704020530368,0.06542343883661249
F1_3,0.6626840431593846,0.6892287093478031,0.6875919916298701,0.11910546315330468
Precision_4,0.6198437449763688,0.7407819736373352,0.7531127409176189,0.6629735525375268
Recall_4,0.6550575923346131,0.5652203458937854,0.6001155244470117,0.06302877917841732
F1_4,0.6369643506128787,0.6412010715593501,0.6679651305712611,0.11511371745943094
Avg_F1,0.6894604290189014,0.7296601662452521,0.7471973802466148,0.28474558858860505
