,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9763978099927865,0.9744739823232759,0.9783376109906722,0.960563769041006
Precision_0,0.9857854594701944,0.9811801019479818,0.9856878632789021,0.9623701863066448
Recall_0,0.9896386565660404,0.9923958581298106,0.9917937413191492,0.9978615851475187
F1_0,0.9877083000585636,0.986756110683656,0.9887313757267239,0.9797945871413671
Precision_1,0.7390070207262589,0.7636819528773028,0.7806629834254144,0.6822235434007135
Recall_1,0.6727675840978593,0.5635015290519878,0.6697706422018349,0.10527522935779816
F1_1,0.7043333493412732,0.6484950333019524,0.7209776973088635,0.18240343347639484
Avg_F1,0.8460208246999184,0.8176255719928042,0.8548545365177938,0.581099010308881
