,layer2_hidden_states
Acc,0.9686603968084575
Precision_0,0.9813699397674744
Recall_0,0.9891392098969447
F1_0,0.9852392585982416
Precision_1,0.5845045470650762
Recall_1,0.43264271352390943
F1_1,0.4972370139656385
Precision_2,0.6140610155177874
Recall_2,0.48853615520282184
F1_2,0.5441534144059869
Precision_3,0.5982824427480916
Recall_3,0.5533492189568441
F1_3,0.5749392508367338
Precision_4,0.6288185085354897
Recall_4,0.5089074713688421
F1_4,0.5625439565960012
Avg_F1,0.6328225788805204
