,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9534990853672173,0.9638248837620894,0.969211729023346,0.9582137729704449
Precision_0,0.9761660920469571,0.9774707482462823,0.9819218726209942,0.9582137729704449
Recall_0,0.9781344247450672,0.9864587063223599,0.9890592108202324,1.0
F1_0,0.9771492671631958,0.9819441605093309,0.985477618817142,0.9786610493673686
Precision_1,0.4369695947844658,0.47252822442695863,0.5944195617963927,1.0
Recall_1,0.46417910447761196,0.4122985074626866,0.5863283582089552,0.0
F1_1,0.45016356425324955,0.440363462458154,0.5903462370762202,0.0
Precision_2,0.23239690907777857,0.6143984991792386,0.6004478797948422,1.0
Recall_2,0.19260234618146996,0.47043332535312427,0.49748623413933446,0.0
F1_2,0.2106365570283096,0.5328632927697367,0.5441393080422899,0.0
Precision_3,0.4419349401651778,0.4979668749380145,0.6436581761279666,1.0
Recall_3,0.4870889838380085,0.3109170846492043,0.45848040126323614,0.0
F1_3,0.4634146341463415,0.3828148825861543,0.535512801967308,0.0
Precision_4,0.5066089510705728,0.6588993554784334,0.6400126672472488,1.0
Recall_4,0.4149939846767555,0.5890584436142595,0.511872348508833,0.0
F1_4,0.45624782457361646,0.6220246055094946,0.5688150858429496,0.0
Avg_F1,0.5115223694329425,0.592002080766574,0.6448582103491819,0.19573220987347373
