,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.939710363430772,0.9189671536327183,0.9522185943226146,0.9241032301425477
Precision_0,0.9659135999749184,0.9509281371385045,0.966886449438833,0.9241032301425477
Recall_0,0.9689524015450087,0.9619526865656973,0.9819228085348953,1.0
F1_0,0.9674306144668107,0.9564086428342493,0.9743466212331703,0.9605547308125305
Precision_1,0.6069135433776318,0.46060276721147014,0.728484544300434,1.0
Recall_1,0.5836654101597559,0.3955842757135164,0.5905462813378807,0.0
F1_1,0.5950624965686364,0.42562478272625437,0.6523029337704138,0.0
Avg_F1,0.7812465555177235,0.6910167127802518,0.813324777501792,0.48027736540626526
