,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9740269884976663,0.9734688490799834,0.9786458126629612,0.960635422198452
Precision_0,0.9846809674847726,0.9845064205089512,0.9869387632185203,0.9619667088343784
Recall_0,0.989126032563387,0.9882956425233338,0.9911727500572003,0.9984253490531055
F1_0,0.9868984948225701,0.9863973924781104,0.9890512253855952,0.9798570068483273
Precision_1,0.7217661856216073,0.6880151772864058,0.7638639320899684,0.7556122448979592
Recall_1,0.6437385605479129,0.6209482198736495,0.727873885575958,0.08744169569581389
F1_1,0.6805230471553849,0.6527635539831798,0.745434756318781,0.1567444567920834
Precision_2,0.7190206217681141,0.75646492434663,0.7750350810052302,0.7247443762781186
Recall_2,0.6640773347143104,0.6328902698659301,0.6991771678462512,0.10196213821278555
F1_2,0.6904576727490278,0.68918199191704,0.7351544302265783,0.17877320419693302
Precision_3,0.7838241146040589,0.6456892188290873,0.7517357458447297,0.7189510143493321
Recall_3,0.49124010225076375,0.7158176943699732,0.6683084980360372,0.09059168277324023
F1_3,0.6039630523935456,0.6789473684210526,0.7075714568618391,0.16090808416389812
Precision_4,0.6222645617855199,0.7034812076401725,0.778315515746894,0.6933445661331087
Recall_4,0.7104412678682411,0.5676817899316345,0.6696706028589186,0.10229956494717216
F1_4,0.6634358676726639,0.6283277154846254,0.7199171510656778,0.17829289428076256
Avg_F1,0.7250556269586385,0.7271236044568017,0.7794258039716944,0.3309151292564009
