,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9517062671096901,0.9629385827429837,0.9686081895034312,0.9577986429594479
Precision_0,0.9766773230046673,0.978398695317216,0.9816870148909164,0.9577986429594479
Recall_0,0.9754831866486752,0.9847206278237636,0.9884313804469687,1.0
F1_0,0.9760798896001364,0.9815494821508931,0.9850476535742166,0.9784444854978754
Precision_1,0.41423883196035094,0.45210271086731857,0.5987954789208811,1.0
Recall_1,0.473221117061974,0.4351185921958684,0.5553175210405509,0.0
F1_1,0.4417699367879719,0.4434480876447425,0.5762375451550157,0.0
Precision_2,0.22328094302554027,0.6176500354215161,0.6091661362189688,1.0
Recall_2,0.172930614729154,0.46431832014607427,0.5096622032866708,0.0
F1_2,0.1949065340421883,0.5301194353963083,0.5549894370572884,0.0
Precision_3,0.43183678609659343,0.49887967734707594,0.5857562887945116,1.0
Recall_3,0.535070609346961,0.3474291955995943,0.5595693219942264,0.0
F1_3,0.4779427137779636,0.40960309064986433,0.572363433222936,0.0
Precision_4,0.4872407678667797,0.6229508196721312,0.6817014625432622,1.0
Recall_4,0.46901669758812614,0.6204081632653061,0.45313543599257883,0.0
F1_4,0.47795507827270667,0.621676891615542,0.5444008559201141,0.0
Avg_F1,0.5137308304961934,0.5972793974914701,0.6466077849859142,0.1956888970995751
