,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9762067689854189,0.9721207915870397,0.9763345556124206,0.9605861317007314
Precision_0,0.9853099875359883,0.9888536368367159,0.9898800042334109,0.9625423615417671
Recall_0,0.989928046040932,0.9819738362575673,0.9853764963736298,0.9976928857531695
F1_0,0.9876136183341998,0.985401728480313,0.9876231163922949,0.9798024677614486
Precision_1,0.7412242380634219,0.6435108262784504,0.6963432701493983,0.6745979497789899
Recall_1,0.661559633027523,0.746177370030581,0.7689908256880734,0.10967889908256881
F1_1,0.699129844632426,0.6910517297534589,0.730866206956686,0.18868123051832758
Avg_F1,0.8433717314833129,0.8382267291168859,0.8592446616744904,0.5842418491398881
