,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9847043917768281,0.9855127221205502,0.9817862284123574,0.982195843002266
Precision_0,0.989720533622939,0.9898154305470861,0.9865684893311027,0.9842741556506369
Recall_0,0.994753190914658,0.9954876701836568,0.9949955505726903,0.9978085876722187
F1_0,0.9922304808188698,0.9926434472443713,0.9907641009344589,0.9909951624779909
Precision_1,0.6088275862068966,0.6465729604405158,0.49735203939422096,0.5383865939204988
Recall_1,0.44146621993298996,0.44626694004100614,0.26769015352302844,0.13817072560884133
F1_1,0.511812621387367,0.5280629604426167,0.34804941482444735,0.21990528871025508
Avg_F1,0.7520215511031184,0.7603532038434939,0.6694067578794531,0.605450225594123
