,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9428505553361215,0.9313935783729165,0.9450635844267763,0.9234385167854445
Precision_0,0.9628232294403998,0.9567253225557821,0.9606835322068106,0.9234501062440508
Recall_0,0.9757901343211292,0.9695611539747184,0.9806424765841911,0.9999856742320365
F1_0,0.9692633156723887,0.9631004724123455,0.9705604045593952,0.9601951741622842
Precision_1,0.6513336935697794,0.5619477714510112,0.6884223471539002,0.38235294117647056
Recall_1,0.5455248627876933,0.47100644301266387,0.5159018160573371,0.00010697211319295301
F1_1,0.5937522390198466,0.5124738682197263,0.5898052201562566,0.0002138843872623621
Avg_F1,0.7815077773461176,0.7377871703160359,0.7801828123578258,0.48020452927477325
