,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9604762352015099,0.9709566554150542,0.9741998800083572,0.9676821230981356
Precision_0,0.9809976592372893,0.9826754152767221,0.9878650486731564,0.9676821230981356
Recall_0,0.9801258213780135,0.9884591106932324,0.9880411586976272,1.0
F1_0,0.9805615465153532,0.9855587777364491,0.9879530958371598,0.9835756616770094
Precision_1,0.4022867459004062,0.43654636150234744,0.5685050033857497,1.0
Recall_1,0.41306866455549546,0.45964316057774,0.5836101027265004,0.0
F1_1,0.4076064174383598,0.44779713307498403,0.5759585334248037,0.0
Precision_2,0.18633333333333332,0.6455263468112696,0.5814265359148437,1.0
Recall_2,0.1735081865445798,0.42492434236051835,0.5382944052145573,0.0
F1_2,0.17969220878370235,0.5124941506785213,0.5590297364815859,0.0
Precision_3,0.4048894842598794,0.48103843217103587,0.5773315484158857,1.0
Recall_3,0.4847634322373697,0.30312750601443467,0.5187650360866078,0.0
F1_3,0.44124087591240874,0.371900826446281,0.5464836325237592,0.0
Precision_4,0.4437323763137657,0.6325466050966307,0.5294583693460098,1.0
Recall_4,0.4229860715158426,0.6025087562108007,0.5987619125193451,0.0
F1_4,0.43311092577147625,0.6171624045721914,0.561981575627843,0.0
Avg_F1,0.4884423948842601,0.5869826585016853,0.6462813147790303,0.1967151323354019
