,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9582955564117259,0.9648970135626337,0.9733852402612214,0.9582137729704449
Precision_0,0.9775067626182834,0.9797445690540847,0.9823546770129787,0.9582137729704449
Recall_0,0.9790045935578169,0.9837035051466652,0.9900073947679183,1.0
F1_0,0.9782551047467515,0.9817200458629209,0.9861661897093456,0.9786610493673686
Precision_1,0.5010142309277044,0.5881361644759016,0.7210194165720349,1.0
Recall_1,0.4834097859327217,0.5336391437308868,0.592217125382263,0.0
F1_1,0.49205459837200977,0.5595638928972262,0.6503018041085655,0.0
Avg_F1,0.7351548515593807,0.7706419693800736,0.8182339969089556,0.4893305246836843
