,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9395875942186774,0.9399223951814218,0.9535220869600776,0.9236621858285908
Precision_0,0.962855874324428,0.9665297962407116,0.9695689261838164,0.9236621858285908
Recall_0,0.972095249690101,0.9684954400566672,0.9804535317425181,1.0
F1_0,0.9674535030373793,0.9675116197752474,0.9749808512006736,0.9603164137997922
Precision_1,0.6180105108659628,0.6091884980735732,0.7263191538819154,1.0
Recall_1,0.5462557647078518,0.5941980464859346,0.6276605539141424,0.0
F1_1,0.5799219839880577,0.601599905090376,0.6733954428106409,0.0
Avg_F1,0.7736877435127185,0.7845557624328117,0.8241881470056572,0.4801582068998961
