,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9484439186426755,0.9534451250049609,0.9561684169944004,0.9258676201653377
Precision_0,0.9662777839398492,0.9695199154206965,0.9647189127343391,0.9285842329222198
Recall_0,0.9805851735123372,0.9815313563773543,0.9899160237125568,0.9965140631288841
F1_0,0.9733789066137123,0.9754886623156191,0.9771550608117595,0.9613506477096534
Precision_1,0.8061011539405843,0.7511039216543522,0.7683954682661022,0.7190344281757024
Recall_1,0.42525013761616426,0.5562931062396788,0.6346857494414403,0.05883495774374251
F1_1,0.5567779544250132,0.6391844631296971,0.6951695275925663,0.10876982939239749
Precision_2,0.6949323049838622,0.7511495807411415,0.8602575107296138,0.5834216663133347
Recall_2,0.5182881080405152,0.6076966362385895,0.4699574840565212,0.08603226209828686
F1_2,0.5937505595845645,0.6718509686004113,0.6078482906414896,0.1499523225718567
Precision_3,0.5925862560593099,0.7245563823697767,0.7963314358001266,0.6485267588695129
Recall_3,0.711103507271172,0.6496834901625321,0.5600342172797262,0.07380667236954662
F1_3,0.6464577338828836,0.6850802814360455,0.6575997428582908,0.13253049061472766
Precision_4,0.7174734788440434,0.6720405505297617,0.7983048266761407,0.5998387530233809
Recall_4,0.5997757466616832,0.6487037477489722,0.5344364785430329,0.07583840168529782
F1_4,0.6533663989340045,0.6601659751037344,0.6402491146660154,0.13465250965250966
Avg_F1,0.6847463106880356,0.7263540701171014,0.7156043473140243,0.29745115998822896
