,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9845617986712503,0.9855871975005336,0.9816218376345893,0.9822140077290913
Precision_0,0.9903572837439768,0.9902517515089534,0.9867529066059267,0.9841807806520182
Recall_0,0.9939539590652687,0.9951167304017066,0.9946347861962299,0.9979251423169213
F1_0,0.9921523618168404,0.9926782803440272,0.9906781695029877,0.9910053082598397
Precision_1,0.5933047103478315,0.6405420128013074,0.48952649181482133,0.5422448979591836
Recall_1,0.47682152322848426,0.4704205630844627,0.2781417212581887,0.13286993048957343
F1_1,0.5287235222357769,0.5424559582504397,0.35473069932076917,0.21343937020524562
Avg_F1,0.7604379420263087,0.7675671192972334,0.6727044344118784,0.6022223392325426
