,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9391882610092971,0.9399070607861817,0.9531272262826423,0.9236621858285908
Precision_0,0.9659270238398359,0.9656561452637149,0.9708294362622153,0.9236621858285908
Recall_0,0.9683197383566495,0.9694182198512484,0.9786591608376128,1.0
F1_0,0.9671219011726017,0.9675335255390597,0.974728575301515,0.9603164137997922
Precision_1,0.6048353696417478,0.6116649830910449,0.7138603943682873,1.0
Recall_1,0.5867070649581091,0.5828318421118709,0.6441993019576989,0.0
F1_1,0.5956333139315044,0.5969004208775854,0.677243230163444,0.0
Avg_F1,0.7813776075520531,0.7822169732083226,0.8259859027324795,0.4801582068998961
