,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9585208462946228,0.953344807385778,0.9606134228248875,0.9266789884063631
Precision_0,0.9693896871443834,0.9683540192305641,0.9674759760278574,0.929865314457472
Recall_0,0.9862570886610907,0.981591594838177,0.9906827719736209,0.9957620372099423
F1_0,0.9777506474576205,0.9749278741381137,0.9789418582404317,0.9616861528823542
Precision_1,0.7876892242753678,0.7311071551625129,0.8397538836018188,0.6237347294938917
Recall_1,0.6208101477891462,0.6094178184646682,0.5944953030575002,0.0855382037934542
F1_1,0.6943637653420422,0.6647391676075733,0.6961548162887812,0.15044461983688504
Avg_F1,0.8360572063998314,0.8198335208728436,0.8375483372646064,0.5560653863596196
