,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9764521193092621,0.9736606204424101,0.9766316595201996,0.9605842149013264
Precision_0,0.9843925911994003,0.9838999184478414,0.9892299101545129,0.9630260250674727
Recall_0,0.9911396144185305,0.9886904726183546,0.9863513521623195,0.9971494469927166
F1_0,0.987754581275125,0.9862893784589187,0.9877885340297704,0.9797907197832113
Precision_1,0.7589303532229096,0.7080622396640159,0.7065965254285879,0.651305057096248
Recall_1,0.6396483180428134,0.6290061162079511,0.7537461773700306,0.1220948012232416
F1_1,0.694202670074095,0.6661970234335779,0.7294101979817111,0.20563996909605975
Avg_F1,0.84097862567461,0.8262432009462484,0.8585993660057407,0.5927153444396356
