,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9581684505942136,0.953435631019904,0.9605189662453963,0.9267352990595212
Precision_0,0.9714191706153318,0.9681319799413746,0.9708143444659496,0.92968633181696
Recall_0,0.9836742115246642,0.9819336196644618,0.9869470352934239,0.9960509892183553
F1_0,0.9775082821558608,0.9749839590718463,0.9788142201566588,0.9617251328662237
Precision_1,0.7651458383407089,0.733825658847379,0.8007561096358972,0.6325224071702945
Recall_1,0.6476156285526237,0.6064500688087118,0.6387363130497218,0.08276192185723688
F1_1,0.701491956913425,0.664085176085176,0.710628270160163,0.1463719192795691
Avg_F1,0.839500119534643,0.8195345675785112,0.8447212451584108,0.5540485260728965
