,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9746647472605321,0.9791695995131853,0.9786264741811114,0.981972416862316
Precision_0,0.9888412646690488,0.9891392080414424,0.9837603670614499,0.9820593213486535
Recall_0,0.9853150398043362,0.9896506875799,0.9946505118228961,0.9999056462400027
F1_0,0.9870750029769889,0.9893948817068068,0.9891754670905774,0.9909021364326602
Precision_1,0.33443736374308236,0.4244263813149501,0.2798256537982565,0.7102272727272727
Recall_1,0.39890983647547135,0.4125618842826424,0.11236685502825423,0.012501875281292193
F1_1,0.36383954024037035,0.41841004184100417,0.16034538123951902,0.02457123200157256
Avg_F1,0.6754572716086796,0.7039024617739055,0.5747604241650481,0.5077366842171164
