,layer,alpha,intervs,success_rate
0,0,4,1,0.74
1,1,4,1,0.25
2,2,4,1,0.57
3,3,4,1,0.41
4,4,4,1,0.565
5,5,4,1,0.115
6,6,4,1,0.155
7,7,4,1,0.085
8,8,4,1,0.07
9,9,4,1,0.095
10,10,4,1,0.04
11,11,4,1,0.025
12,12,4,1,0.08
13,13,4,1,0.195
14,14,4,1,0.055
15,15,4,1,0.115
16,16,4,1,0.085
17,17,4,1,0.11
18,18,4,1,0.03
19,19,4,1,0.005
20,20,4,1,0.005
21,21,4,1,0.0
22,22,4,1,0.0
23,23,4,1,0.0
24,24,4,1,0.02
25,25,4,1,0.0
26,26,4,1,0.005
27,27,4,1,0.005
28,28,4,1,0.0
29,29,4,1,0.0
30,30,4,1,0.015
31,31,4,1,0.025
32,32,4,1,0.0
33,33,4,1,0.0
34,34,4,1,0.01
35,35,4,1,0.02
36,36,4,1,0.0
37,37,4,1,0.0
38,38,4,1,0.0
39,39,4,1,0.0
40,40,4,1,0.015
41,41,4,1,0.0
42,42,4,1,0.005
43,43,4,1,0.005
44,44,4,1,0.0
45,45,4,1,0.0
46,46,4,1,0.0
47,47,4,1,0.0
